# x	y	u	v	flags	mask
1.1100e+02	4.1800e+02	1.0601e+01	7.8710e+01	0.0000e+00	0.0000e+00
1.3200e+02	4.1800e+02	-7.1646e+01	7.6079e+01	0.0000e+00	0.0000e+00
1.5300e+02	4.1800e+02	-3.0647e+00	-1.0910e+01	0.0000e+00	0.0000e+00
1.7400e+02	4.1800e+02	4.2063e+01	-8.0406e+01	0.0000e+00	0.0000e+00
1.9500e+02	4.1800e+02	6.4385e+00	-4.1900e+00	0.0000e+00	0.0000e+00
2.1600e+02	4.1800e+02	6.0945e+01	-7.3564e+01	0.0000e+00	0.0000e+00
2.3700e+02	4.1800e+02	-5.1260e+01	-1.1861e+02	0.0000e+00	0.0000e+00
2.5800e+02	4.1800e+02	6.5566e+01	8.1407e+01	0.0000e+00	0.0000e+00
2.7900e+02	4.1800e+02	2.5187e+00	7.7946e+01	0.0000e+00	0.0000e+00
3.0000e+02	4.1800e+02	-7.3289e+01	7.3845e+01	0.0000e+00	0.0000e+00
3.2100e+02	4.1800e+02	6.7255e+01	7.1224e+01	0.0000e+00	0.0000e+00
3.4200e+02	4.1800e+02	-1.5944e+01	-3.1667e+02	0.0000e+00	0.0000e+00
3.6300e+02	4.1800e+02	-7.3214e+01	3.7254e+02	0.0000e+00	0.0000e+00
3.8400e+02	4.1800e+02	2.8738e+01	8.2162e+01	0.0000e+00	0.0000e+00
4.0500e+02	4.1800e+02	-6.9865e+01	7.3290e+01	0.0000e+00	0.0000e+00
4.2600e+02	4.1800e+02	-6.8292e+01	7.2830e+01	0.0000e+00	0.0000e+00
4.4700e+02	4.1800e+02	6.8852e+01	-1.8094e+00	0.0000e+00	0.0000e+00
4.6800e+02	4.1800e+02	6.8693e+01	1.2730e+02	0.0000e+00	0.0000e+00
4.8900e+02	4.1800e+02	-2.1646e+01	7.7062e+01	0.0000e+00	0.0000e+00
5.1000e+02	4.1800e+02	1.1471e+01	8.1496e+01	0.0000e+00	0.0000e+00
5.3100e+02	4.1800e+02	5.6992e+01	7.8431e+01	0.0000e+00	0.0000e+00
5.5200e+02	4.1800e+02	-7.0380e+01	7.1920e+01	0.0000e+00	0.0000e+00
5.7300e+02	4.1800e+02	-6.9539e+01	7.2857e+01	0.0000e+00	0.0000e+00
5.9400e+02	4.1800e+02	1.0422e+00	6.9720e+01	0.0000e+00	0.0000e+00
6.1500e+02	4.1800e+02	-4.3026e+02	6.9721e+01	0.0000e+00	0.0000e+00
6.3600e+02	4.1800e+02	-6.5894e+01	6.9772e+01	0.0000e+00	0.0000e+00
6.5700e+02	4.1800e+02	8.0993e+00	6.9802e+01	0.0000e+00	0.0000e+00
6.7800e+02	4.1800e+02	6.9478e+01	6.8204e+01	0.0000e+00	0.0000e+00
6.9900e+02	4.1800e+02	-3.2755e+02	6.6456e+01	0.0000e+00	0.0000e+00
7.2000e+02	4.1800e+02	8.6575e+01	6.5946e+01	0.0000e+00	0.0000e+00
7.4100e+02	4.1800e+02	-8.2393e+01	6.9074e+01	0.0000e+00	0.0000e+00
7.6200e+02	4.1800e+02	-5.1146e+01	6.7150e+01	0.0000e+00	0.0000e+00
7.8300e+02	4.1800e+02	4.8676e+01	-6.6632e+01	0.0000e+00	0.0000e+00
8.0400e+02	4.1800e+02	-2.0753e+01	-6.0967e+01	0.0000e+00	0.0000e+00
8.2500e+02	4.1800e+02	-9.2456e+00	1.1459e+01	0.0000e+00	0.0000e+00
2.7000e+01	3.9700e+02	5.8975e+00	-8.9304e+01	0.0000e+00	0.0000e+00
4.8000e+01	3.9700e+02	6.6999e+01	-9.7622e+01	0.0000e+00	0.0000e+00
6.9000e+01	3.9700e+02	3.4631e+00	-7.5691e+01	0.0000e+00	0.0000e+00
9.0000e+01	3.9700e+02	-6.7269e+01	-7.0525e+01	0.0000e+00	0.0000e+00
1.1100e+02	3.9700e+02	6.2350e+00	7.6530e+01	0.0000e+00	0.0000e+00
1.3200e+02	3.9700e+02	-7.6375e+01	7.7354e+01	0.0000e+00	0.0000e+00
1.5300e+02	3.9700e+02	6.9154e+01	-7.0337e+01	0.0000e+00	0.0000e+00
1.7400e+02	3.9700e+02	7.5346e+00	-3.9811e+01	0.0000e+00	0.0000e+00
1.9500e+02	3.9700e+02	-6.7799e+01	-6.4870e+01	0.0000e+00	0.0000e+00
2.1600e+02	3.9700e+02	9.2000e+00	-7.0095e+01	0.0000e+00	0.0000e+00
2.3700e+02	3.9700e+02	-4.2323e+01	-7.2412e+01	0.0000e+00	0.0000e+00
2.5800e+02	3.9700e+02	2.7479e+01	-6.8983e+01	0.0000e+00	0.0000e+00
2.7900e+02	3.9700e+02	2.0688e+00	7.3545e+01	0.0000e+00	0.0000e+00
3.0000e+02	3.9700e+02	-7.1498e+01	7.3884e+01	0.0000e+00	0.0000e+00
3.2100e+02	3.9700e+02	1.4423e+01	-7.7936e+01	0.0000e+00	0.0000e+00
3.4200e+02	3.9700e+02	-6.4571e-01	-7.6267e+01	0.0000e+00	0.0000e+00
3.6300e+02	3.9700e+02	-7.0027e+01	-6.9848e+01	0.0000e+00	0.0000e+00
3.8400e+02	3.9700e+02	1.0368e+01	7.4864e+01	0.0000e+00	0.0000e+00
4.0500e+02	3.9700e+02	-6.8140e+01	7.2033e+01	0.0000e+00	0.0000e+00
4.2600e+02	3.9700e+02	-2.3509e+00	-1.6427e+00	0.0000e+00	0.0000e+00
4.4700e+02	3.9700e+02	6.3901e+01	-6.7590e+01	0.0000e+00	0.0000e+00
4.6800e+02	3.9700e+02	-7.2033e+01	-2.1700e+01	0.0000e+00	0.0000e+00
